class_name,class_tag,term,session,class_number,course_id,consent,class_capacity,school,department,subject,units,course_component,grading_basis,cross_reg
Introduction to Computer Programming and Numerical Methods for Engineering Applications,MIT 1 .000,2023 Fall,Full Term,18772,209780,Instructor,No Limit,Non-Harvard,Mass Institute of Technology,MIT Civil and Enviro Eng,12,Regular Course,MIT Optional (LG/AUD),Available for Harvard Cross Registration
Experiential Sustainability,MIT 1 .005,2023 Fall,Full Term,19998,218417,Instructor,No Limit,Non-Harvard,Mass Institute of Technology,MIT Civil and Enviro Eng,3,Regular Course,MIT Optional (LG/AUD),Available for Harvard Cross Registration
Climate Change,MIT 1 .009,2023 Fall,Full Term,27468,213308,Instructor,No Limit,Non-Harvard,Mass Institute of Technology,MIT Civil and Enviro Eng,3,Regular Course,MIT Optional (PNP/AUD),Available for Harvard Cross Registration
Probability: Concepts and Applications,MIT 1 .010A,2023 Fall,Full Term,20119,222577,Instructor,No Limit,Non-Harvard,Mass Institute of Technology,MIT Civil and Enviro Eng,6,Regular Course,MIT Optional (LG/AUD),Available for Harvard Cross Registration
Causal Inference for Data Analysis,MIT 1 .010B,2023 Fall,Full Term,20120,222578,Instructor,No Limit,Non-Harvard,Mass Institute of Technology,MIT Civil and Enviro Eng,6,Regular Course,MIT Optional (LG/AUD),Available for Harvard Cross Registration
Senior Civil and Environmental Engineering Design,MIT 1 .013,2023 Fall,Full Term,18403,211811,Instructor,No Limit,Non-Harvard,Mass Institute of Technology,MIT Civil and Enviro Eng,6,Regular Course,MIT Optional (LG/AUD),Available for Harvard Cross Registration
Fundamentals of Ecology,MIT 1 .018,2023 Fall,Full Term,18774,213003,Instructor,No Limit,Non-Harvard,Mass Institute of Technology,MIT Civil and Enviro Eng,12,Regular Course,MIT Optional (LG/AUD),Available for Harvard Cross Registration
Introduction to Network Models,MIT 1 .022,2023 Fall,Full Term,26918,209354,Instructor,No Limit,Non-Harvard,Mass Institute of Technology,MIT Civil and Enviro Eng,12,Regular Course,MIT Optional (LG/AUD),Available for Harvard Cross Registration
Advanced Soil Mechanics,MIT 1 .032,2023 Fall,Full Term,18777,209784,Instructor,No Limit,Non-Harvard,Mass Institute of Technology,MIT Civil and Enviro Eng,9,Regular Course,MIT Optional (LG/AUD),Available for Harvard Cross Registration
Structural Mechanics and Design,MIT 1 .036,2023 Fall,Full Term,18452,211843,Instructor,No Limit,Non-Harvard,Mass Institute of Technology,MIT Civil and Enviro Eng,12,Regular Course,MIT Optional (LG/AUD),Available for Harvard Cross Registration
Solid Mechanics,MIT 1 .050,2023 Fall,Full Term,18778,209785,Instructor,No Limit,Non-Harvard,Mass Institute of Technology,MIT Civil and Enviro Eng,12,Regular Course,MIT Optional (LG/AUD),Available for Harvard Cross Registration
Dynamics and Control I,MIT 1 .053,2023 Fall,Full Term,17932,208955,Instructor,No Limit,Non-Harvard,Mass Institute of Technology,MIT Civil and Enviro Eng,12,Regular Course,MIT Optional (LG/AUD),Available for Harvard Cross Registration
Transport Processes in the Environment,MIT 1 .061,2023 Fall,Full Term,18780,209788,Instructor,No Limit,Non-Harvard,Mass Institute of Technology,MIT Civil and Enviro Eng,12,Regular Course,MIT Optional (LG/AUD),Available for Harvard Cross Registration
Transport Processes in the Environment I,MIT 1 .061A,2023 Fall,Full Term,18781,209789,Instructor,No Limit,Non-Harvard,Mass Institute of Technology,MIT Civil and Enviro Eng,6,Regular Course,MIT Optional (LG/AUD),Available for Harvard Cross Registration
Energy Systems for Climate Change Mitigation,MIT 1 .067,2023 Fall,Full Term,20045,219988,Instructor,No Limit,Non-Harvard,Mass Institute of Technology,MIT Civil and Enviro Eng,12,Regular Course,MIT Optional (LG/AUD),Available for Harvard Cross Registration
Introduction to Hydrology and Water Resources,MIT 1 .070A,2023 Fall,Full Term,18782,209790,Instructor,No Limit,Non-Harvard,Mass Institute of Technology,MIT Civil and Enviro Eng,6,Regular Course,MIT Optional (LG/AUD),Available for Harvard Cross Registration
Introduction to Hydrology Modeling,MIT 1 .070B,2023 Fall,Full Term,18784,209791,Instructor,No Limit,Non-Harvard,Mass Institute of Technology,MIT Civil and Enviro Eng,6,Regular Course,MIT Optional (LG/AUD),Available for Harvard Cross Registration
Global Change Science,MIT 1 .071,2023 Fall,Full Term,27466,209792,Instructor,No Limit,Non-Harvard,Mass Institute of Technology,MIT Civil and Enviro Eng,12,Regular Course,MIT Optional (LG/AUD),Available for Harvard Cross Registration
Ethics for Engineers,MIT 1 .082,2023 Fall,Full Term,17915,208942,Instructor,No Limit,Non-Harvard,Mass Institute of Technology,MIT Civil and Enviro Eng,6,Regular Course,MIT Optional (LG/AUD),Available for Harvard Cross Registration
Introduction to Civil and Environmental Engineering Design I,MIT 1 .101,2023 Fall,Full Term,18788,209796,Instructor,No Limit,Non-Harvard,Mass Institute of Technology,MIT Civil and Enviro Eng,6,Regular Course,MIT Optional (LG/AUD),Available for Harvard Cross Registration
Infrastructure Design for Climate Change,MIT 1 .103,2023 Fall,Full Term,20016,218448,Instructor,No Limit,Non-Harvard,Mass Institute of Technology,MIT Civil and Enviro Eng,6,Regular Course,MIT Optional (LG/AUD),Available for Harvard Cross Registration
Environmental Fluid Transport Processes and Hydrology Laboratory,MIT 1 .106,2023 Fall,Full Term,18789,209797,Instructor,No Limit,Non-Harvard,Mass Institute of Technology,MIT Civil and Enviro Eng,6,Regular Course,MIT Optional (LG/AUD),Available for Harvard Cross Registration
Architecting and Engineering Software Systems,MIT 1 .125,2023 Fall,Full Term,19634,210619,Instructor,No Limit,Non-Harvard,Mass Institute of Technology,MIT Civil and Enviro Eng,12,Regular Course,MIT Optional (LG/AUD),Available for Harvard Cross Registration
Reinforcement Learning: Foundations and Methods,MIT 1 .127,2023 Fall,Full Term,20595,222735,Instructor,No Limit,Non-Harvard,Mass Institute of Technology,MIT Civil and Enviro Eng,12,Regular Course,MIT Optional (LG/AUD),Available for Harvard Cross Registration
Engineering Systems Analysis for Design,MIT 1 .146,2023 Fall,Full Term,19638,210622,Instructor,No Limit,Non-Harvard,Mass Institute of Technology,MIT Civil and Enviro Eng,12,Regular Course,MIT Optional (LG/AUD),Available for Harvard Cross Registration
